date,sales,revenue,avg_price,total_stock,active_products,active_stores,total_products,total_stores,day_of_week,day_of_month,week_of_year,month,quarter,year,day_of_year,is_weekend,dow_sin,dow_cos,month_sin,month_cos,day_of_year_sin,day_of_year_cos,sales_lag_1,sales_lag_7,sales_lag_14,sales_lag_30,sales_lag_90,revenue_lag_1,revenue_lag_7,revenue_lag_30,price_lag_1,price_lag_7,price_change,price_change_pct,stock_lag_1,stock_lag_7,stock_change,stock_change_pct,stockout_flag,rolling_sales_7,rolling_sales_14,rolling_sales_30,rolling_sales_90,sales_std_7,sales_std_30,rolling_revenue_7,rolling_revenue_30,sales_growth_7d,sales_growth_30d,revenue_per_unit,target_next_day_sales
2017-01-02,6817.962,20054.349999999922,8.852934765805516,210294.52599999998,217,116,314,117,0,2,1,1,1,2017,2,0,0.0,1.0,0.49999999999999994,0.8660254037844387,0.03439806061360801,0.9994082116062598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.941399497386451,6578.22
2017-01-03,6578.22,19030.639999999945,8.874996132425125,209011.13799999995,216,117,314,117,1,3,1,1,1,2017,3,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.051584366869408364,0.9986686402879997,6817.962,0.0,0.0,0.0,0.0,20054.349999999922,0.0,0.0,8.852934765805516,0.0,0.022061366619608336,0.24919834160328871,210294.52599999998,0.0,-1283.3880000000354,-0.6102812205392524,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8929771275512137,6615.6860000000015
2017-01-04,6615.6860000000015,19660.479999999978,8.889380709087444,207746.226,226,117,315,117,2,4,1,1,1,2017,4,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.06875540848113941,0.9976335468520451,6578.22,0.0,0.0,0.0,0.0,19030.639999999945,0.0,0.0,8.874996132425125,0.0,0.014384576662319404,0.16207980767185717,209011.13799999995,0.0,-1264.911999999953,-0.6051888009910521,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.971797633684545,6440.778
2017-01-05,6440.778,18506.369999999955,8.933573861876106,208922.00300000003,214,117,310,117,3,5,1,1,1,2017,5,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.08590610426133272,0.9963032375991965,6615.6860000000015,0.0,0.0,0.0,0.0,19660.479999999978,0.0,0.0,8.889380709087444,0.0,0.04419315278866165,0.4971454619272165,207746.226,0.0,1175.777000000031,0.5659679228059868,0,6670.622666666667,0.0,0.0,0.0,128.96737823703046,0.0,19581.82333333328,0.0,0.0,0.0,2.8733128202835054,7182.927000000001
2017-01-06,7182.927000000001,20461.73999999998,8.963306320906971,208812.433,225,117,317,117,4,6,1,1,1,2017,6,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.10303137904317879,0.9946781061893646,6440.778,0.0,0.0,0.0,0.0,18506.369999999955,0.0,0.0,8.933573861876106,0.0,0.029732459030865854,0.33281707288220547,208922.00300000003,0.0,-109.57000000003609,-0.05244540949573227,0,6613.1615,0.0,0.0,0.0,155.87024239732216,0.0,19312.95999999995,0.0,0.0,0.0,2.848663226008002,7394.900999999999
2017-01-07,7394.900999999999,21570.829999999947,8.984899682391418,208188.26500000004,234,117,313,117,5,7,1,1,1,2017,7,1,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.1201261651823505,0.9927586335250793,7182.927000000001,0.0,0.0,0.0,0.0,20461.73999999998,0.0,0.0,8.963306320906971,0.0,0.021593361484447016,0.24090844060612274,208812.433,0.0,-624.1679999999469,-0.29891323568838785,0,6727.114600000001,0.0,0.0,0.0,288.3542861599254,0.0,19542.715999999957,0.0,0.0,0.0,2.9169869887372326,7531.1900000000005
2017-01-08,7531.1900000000005,22160.389999999934,9.006805339955818,205643.35100000002,220,116,314,117,6,8,1,1,1,2017,8,1,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.13718540405660057,0.9905453876091833,7394.900999999999,0.0,0.0,0.0,0.0,21570.829999999947,0.0,0.0,8.984899682391418,0.0,0.02190565756439966,0.24380525480245827,208188.26500000004,0.0,-2544.914000000019,-1.2224099182535664,0,6838.412333333334,0.0,0.0,0.0,375.2887796727563,0.0,19880.734999999953,0.0,0.0,0.0,2.942481865415682,6447.895999999999
2017-01-09,6447.895999999999,17323.919999999947,8.964028025082527,203879.761,218,116,314,117,0,9,2,1,1,2017,9,0,0.0,1.0,0.49999999999999994,0.8660254037844387,0.1542040475626894,0.988039023376751,7531.1900000000005,6817.962,0.0,0.0,0.0,22160.389999999934,20054.349999999922,0.0,9.006805339955818,8.852934765805516,-0.04277731487329106,-0.4749443699368427,205643.35100000002,210294.52599999998,-1763.5900000000256,-0.8575964121495109,0,6937.380571428572,6937.380571428572,0.0,0.0,431.19721920711936,0.0,20206.399999999954,0.0,10.461014596443922,0.0,2.686755493574951,6197.542999999998
2017-01-10,6197.542999999998,17458.74999999996,9.006063928350152,206636.67,215,117,314,117,1,10,2,1,1,2017,10,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.17117705961019986,0.985240282501282,6447.895999999999,6578.22,0.0,0.0,0.0,17323.919999999947,19030.639999999945,0.0,8.964028025082527,8.874996132425125,0.04203590326762452,0.46893989119626295,203879.761,209011.13799999995,2756.909000000014,1.3522229899023739,0,6884.514,6876.195,0.0,0.0,469.28251635768436,0.0,19816.33857142853,0.0,-1.9811438352624482,0.0,2.817043786545727,6836.4000000000015
2017-01-11,6836.4000000000015,18464.379999999965,9.002591421076342,208505.81999999998,214,117,312,117,2,11,2,1,1,2017,11,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.18809941761179758,0.9821499931752291,6197.542999999998,6615.6860000000015,0.0,0.0,0.0,17458.74999999996,19660.479999999978,0.0,9.006063928350152,8.889380709087444,-0.0034725072738091,-0.038557435317308916,206636.67,207746.226,1869.149999999965,0.9045587116749243,0,6830.131571428572,6800.789222222223,0.0,0.0,528.9561231957584,0.0,19591.782857142814,0.0,-6.320478329836144,0.0,2.700892282487853,6945.934
